,AUC,Percent Change,Difference
TS,0.9410765,0.0,0.5657265186309814
SP1,0.9348432499999999,0.0,0.25841546058654785
SPTS,0.9410284999999999,0.0,0.571415901184082
SPU,0.9341405,0.0,0.23091459274291992
