,AUC,Percent Change,Difference
TS,0.8729199999999999,0.0,0.3421168327331543
SP1,0.8708285,0.0,0.16633224487304688
SPTS,0.8729215000000001,0.0,0.36979198455810547
SPU,0.8686449999999999,0.6759999990463257,-0.03629493713378906
