,AUC,Percent Change,Difference
TS,0.92158425,0.0,0.396120548248291
SP1,0.917726,0.0,0.1558375358581543
SPTS,0.9214754999999999,0.0,0.4086928367614746
SPU,0.9139989999999999,0.7904999852180481,-0.06767034530639648
