,AUC,Percent Change,Difference
TS,0.938356,0.0,0.5633199214935303
SP1,0.9321992499999999,0.0,0.23360180854797363
SPTS,0.9383217499999998,0.0,0.5732917785644531
SPU,0.93166425,0.0,0.2109694480895996
