,NLL,ECE10,ECE15,ECE20
TS,1.1248968839645386,0.02366076223552227,0.030226396396756172,0.02645842917263508
SP1,1.107290267944336,0.015963759273290634,0.03160564973950386,0.027151435613632202
SPTS,1.1156086921691895,0.01883034035563469,0.024597041308879852,0.02552378736436367
SPU,1.1052082777023315,0.015544652007520199,0.03144528716802597,0.029333677142858505
