,AUC,Percent Change,Difference
TS,0.9044782500000002,0.0,0.558504581451416
SP1,0.8999845,0.0,0.27581143379211426
SPTS,0.90448575,0.0,0.5663197040557861
SPU,0.89996575,0.0,0.27470898628234863
