,AUC,Percent Change,Difference
TS,0.9111565,0.0,0.3504142761230469
SP1,0.9088685,0.0,0.1475965976715088
SPTS,0.9111487500000002,0.0,0.3570289611816406
SPU,0.90810025,0.12800000607967377,0.09084272384643555
