,AUC,Percent Change,Difference
TS,0.8999935,0.0,0.6864230632781982
SP1,0.8950685,0.0,0.3806586265563965
SPTS,0.8997075,0.0,0.6970770359039307
SPU,0.8943771250000001,0.001500000013038516,0.3322136402130127
