,NLL,ECE10,ECE15,ECE20
TS,1.2530786991119385,0.04389301687479019,0.04748416319489479,0.05045333877205849
SP1,1.2176653146743774,0.028161942958831787,0.029199594631791115,0.038298800587654114
SPTS,1.2291369438171387,0.028983116149902344,0.028723392635583878,0.04006489738821983
SPU,1.2099337577819824,0.022613218054175377,0.02509923279285431,0.03281433880329132
