,NLL,ECE10,ECE15,ECE20
TS,1.2278332710266113,0.02561877854168415,0.02748318761587143,0.0352025106549263
SP1,1.209179162979126,0.023517074063420296,0.0270304623991251,0.03035588189959526
SPTS,1.2177636623382568,0.025279827415943146,0.02365608513355255,0.028338439762592316
SPU,1.2085622549057007,0.02525760792195797,0.028209641575813293,0.0315755195915699
