,AUC,Percent Change,Difference
TS,0.8908615,0.0,0.4799046516418457
SP1,0.8864007500000001,0.0,0.2267932891845703
SPTS,0.89067625,0.0,0.4979054927825928
SPU,0.8832165000000001,0.5550000071525574,0.04632425308227539
