,AUC,Percent Change,Difference
TS,0.8930812499999998,0.0,0.6627051830291748
SP1,0.8890494999999998,0.0,0.3569912910461426
SPTS,0.8928195,0.0,0.6803739070892334
SPU,0.8883542500000001,0.03999999910593033,0.29589366912841797
