,AUC,Percent Change,Difference
TS,0.8904455,0.0,0.3951277732849121
SP1,0.8884245,0.0,0.1775829792022705
SPTS,0.8906850000000001,0.0,0.4200770854949951
SPU,0.88622975,0.7080000042915344,-0.04894542694091797
