,AUC,Percent Change,Difference
TS,0.919256,0.0,0.39931416511535645
SP1,0.91577325,0.0,0.16445136070251465
SPTS,0.9191862500000001,0.0,0.4104025363922119
SPU,0.9125772500000001,0.7440000176429749,-0.03459525108337402
