,AUC,Percent Change,Difference
TS,0.910979,0.0,0.59588623046875
SP1,0.904283,0.0,0.2904200553894043
SPTS,0.9107485000000001,0.0,0.6045823097229004
SPU,0.9039206249999999,0.0,0.27632951736450195
