,NLL,ECE10,ECE15,ECE20
TS,1.0983299016952515,0.02781682088971138,0.03359696641564369,0.03362791985273361
SP1,1.0795832872390747,0.019418220967054367,0.02742338366806507,0.02438979037106037
SPTS,1.0855203866958618,0.01657928340137005,0.022809896618127823,0.021890221163630486
SPU,1.0792248249053955,0.017815856263041496,0.02474648877978325,0.027451694011688232
