,AUC,Percent Change,Difference
TS,0.88813275,0.0,0.32826995849609375
SP1,0.8864555000000001,0.0,0.14166569709777832
SPTS,0.88836125,0.0,0.35139894485473633
SPU,0.8843192499999999,0.7599999904632568,-0.08075547218322754
