,AUC,Percent Change,Difference
TS,0.9233340000000001,0.0,0.6704380512237549
SP1,0.9200280000000002,0.0,0.33337926864624023
SPTS,0.9232708750000002,0.0,0.6817710399627686
SPU,0.9190557500000001,0.009499999694526196,0.25054454803466797
