,AUC,Percent Change,Difference
TS,0.8974112500000001,0.0,0.8170633316040039
SP1,0.8906240000000001,0.0,0.43613195419311523
SPTS,0.897309,0.0,0.8341081142425537
SPU,0.8889127499999999,0.013500000350177288,0.3466954231262207
