,AUC,Percent Change,Difference
TS,0.9216460000000002,0.0,0.40111541748046875
SP1,0.917912,0.0,0.1659832000732422
SPTS,0.9215355,0.0,0.41397547721862793
SPU,0.91415075,0.7615000009536743,-0.05044698715209961
