,AUC,Percent Change,Difference
TS,0.9027149999999999,0.0,0.36533117294311523
SP1,0.9004901249999999,0.0,0.14977741241455078
SPTS,0.902661,0.0,0.38134074211120605
SPU,0.8994605,0.30399999022483826,0.06337594985961914
