,AUC,Percent Change,Difference
TS,0.8748592499999999,0.0,0.33536791801452637
SP1,0.8724672499999999,0.0,0.15424823760986328
SPTS,0.8747795,0.0,0.36370062828063965
SPU,0.86990925,0.7135000228881836,-0.07374978065490723
